TRIMTABLE START
TRIMSTART 512GB_2.32C_TO_6.11C
Original_value[010]=A2;	Fix_or_Trim[010]=00;	Trim_value[010]=06;	Trim_mask[010]=07;	Trim_shift[010]=00;
Original_value[011]=20;	Fix_or_Trim[011]=20;	Trim_value[011]=20;	Trim_mask[011]=00;	Trim_shift[011]=00;
Original_value[012]=62;	Fix_or_Trim[012]=00;	Trim_value[012]=00;	Trim_mask[012]=00;	Trim_shift[012]=00;
Original_value[013]=00;	Fix_or_Trim[013]=00;	Trim_value[013]=00;	Trim_mask[013]=00;	Trim_shift[013]=00;
Original_value[014]=80;	Fix_or_Trim[014]=00;	Trim_value[014]=80;	Trim_mask[014]=92;	Trim_shift[014]=00;
Original_value[015]=3E;	Fix_or_Trim[015]=00;	Trim_value[015]=00;	Trim_mask[015]=00;	Trim_shift[015]=00;
Original_value[016]=31;	Fix_or_Trim[016]=20;	Trim_value[016]=31;	Trim_mask[016]=00;	Trim_shift[016]=00;
Original_value[017]=B1;	Fix_or_Trim[017]=20;	Trim_value[017]=B1;	Trim_mask[017]=00;	Trim_shift[017]=00;
Original_value[018]=B8;	Fix_or_Trim[018]=20;	Trim_value[018]=B8;	Trim_mask[018]=00;	Trim_shift[018]=00;
Original_value[019]=B8;	Fix_or_Trim[019]=20;	Trim_value[019]=B8;	Trim_mask[019]=00;	Trim_shift[019]=00;
Original_value[01A]=2F;	Fix_or_Trim[01A]=20;	Trim_value[01A]=2F;	Trim_mask[01A]=00;	Trim_shift[01A]=00;
Original_value[01B]=2F;	Fix_or_Trim[01B]=20;	Trim_value[01B]=2F;	Trim_mask[01B]=00;	Trim_shift[01B]=00;
Original_value[01C]=4F;	Fix_or_Trim[01C]=20;	Trim_value[01C]=4F;	Trim_mask[01C]=00;	Trim_shift[01C]=00;
Original_value[01D]=CF;	Fix_or_Trim[01D]=20;	Trim_value[01D]=CF;	Trim_mask[01D]=00;	Trim_shift[01D]=00;
Original_value[01E]=C0;	Fix_or_Trim[01E]=20;	Trim_value[01E]=C0;	Trim_mask[01E]=00;	Trim_shift[01E]=00;
Original_value[01F]=40;	Fix_or_Trim[01F]=20;	Trim_value[01F]=40;	Trim_mask[01F]=00;	Trim_shift[01F]=00;
Original_value[020]=70;	Fix_or_Trim[020]=00;	Trim_value[020]=01;	Trim_mask[020]=07;	Trim_shift[020]=00;
Original_value[021]=17;	Fix_or_Trim[021]=20;	Trim_value[021]=17;	Trim_mask[021]=00;	Trim_shift[021]=00;
Original_value[022]=93;	Fix_or_Trim[022]=20;	Trim_value[022]=93;	Trim_mask[022]=00;	Trim_shift[022]=00;
Original_value[023]=1B;	Fix_or_Trim[023]=20;	Trim_value[023]=1B;	Trim_mask[023]=00;	Trim_shift[023]=00;
Original_value[024]=B8;	Fix_or_Trim[024]=20;	Trim_value[024]=B8;	Trim_mask[024]=00;	Trim_shift[024]=00;
Original_value[025]=C8;	Fix_or_Trim[025]=20;	Trim_value[025]=C8;	Trim_mask[025]=00;	Trim_shift[025]=00;
Original_value[026]=88;	Fix_or_Trim[026]=20;	Trim_value[026]=88;	Trim_mask[026]=00;	Trim_shift[026]=00;
Original_value[027]=87;	Fix_or_Trim[027]=20;	Trim_value[027]=87;	Trim_mask[027]=00;	Trim_shift[027]=00;
Original_value[028]=37;	Fix_or_Trim[028]=20;	Trim_value[028]=37;	Trim_mask[028]=00;	Trim_shift[028]=00;
Original_value[029]=90;	Fix_or_Trim[029]=20;	Trim_value[029]=90;	Trim_mask[029]=00;	Trim_shift[029]=00;
Original_value[02A]=C0;	Fix_or_Trim[02A]=20;	Trim_value[02A]=C0;	Trim_mask[02A]=00;	Trim_shift[02A]=00;
Original_value[02B]=A0;	Fix_or_Trim[02B]=20;	Trim_value[02B]=A0;	Trim_mask[02B]=00;	Trim_shift[02B]=00;
Original_value[02C]=20;	Fix_or_Trim[02C]=20;	Trim_value[02C]=20;	Trim_mask[02C]=00;	Trim_shift[02C]=00;
Original_value[02D]=38;	Fix_or_Trim[02D]=01;	Trim_value[02D]=00;	Trim_mask[02D]=00;	Trim_shift[02D]=00;
Original_value[02E]=78;	Fix_or_Trim[02E]=01;	Trim_value[02E]=00;	Trim_mask[02E]=00;	Trim_shift[02E]=00;
Original_value[02F]=74;	Fix_or_Trim[02F]=01;	Trim_value[02F]=00;	Trim_mask[02F]=00;	Trim_shift[02F]=00;
Original_value[030]=71;	Fix_or_Trim[030]=01;	Trim_value[030]=00;	Trim_mask[030]=00;	Trim_shift[030]=00;
Original_value[031]=71;	Fix_or_Trim[031]=01;	Trim_value[031]=00;	Trim_mask[031]=00;	Trim_shift[031]=00;
Original_value[032]=74;	Fix_or_Trim[032]=01;	Trim_value[032]=00;	Trim_mask[032]=00;	Trim_shift[032]=00;
Original_value[033]=81;	Fix_or_Trim[033]=01;	Trim_value[033]=00;	Trim_mask[033]=00;	Trim_shift[033]=00;
Original_value[034]=30;	Fix_or_Trim[034]=20;	Trim_value[034]=30;	Trim_mask[034]=00;	Trim_shift[034]=00;
Original_value[035]=88;	Fix_or_Trim[035]=20;	Trim_value[035]=88;	Trim_mask[035]=00;	Trim_shift[035]=00;
Original_value[036]=38;	Fix_or_Trim[036]=01;	Trim_value[036]=00;	Trim_mask[036]=00;	Trim_shift[036]=00;
Original_value[037]=78;	Fix_or_Trim[037]=01;	Trim_value[037]=00;	Trim_mask[037]=00;	Trim_shift[037]=00;
Original_value[038]=74;	Fix_or_Trim[038]=01;	Trim_value[038]=00;	Trim_mask[038]=00;	Trim_shift[038]=00;
Original_value[039]=71;	Fix_or_Trim[039]=01;	Trim_value[039]=00;	Trim_mask[039]=00;	Trim_shift[039]=00;
Original_value[03A]=71;	Fix_or_Trim[03A]=01;	Trim_value[03A]=00;	Trim_mask[03A]=00;	Trim_shift[03A]=00;
Original_value[03B]=74;	Fix_or_Trim[03B]=01;	Trim_value[03B]=00;	Trim_mask[03B]=00;	Trim_shift[03B]=00;
Original_value[03C]=81;	Fix_or_Trim[03C]=01;	Trim_value[03C]=00;	Trim_mask[03C]=00;	Trim_shift[03C]=00;
Original_value[03D]=30;	Fix_or_Trim[03D]=20;	Trim_value[03D]=30;	Trim_mask[03D]=00;	Trim_shift[03D]=00;
Original_value[03E]=C8;	Fix_or_Trim[03E]=20;	Trim_value[03E]=C8;	Trim_mask[03E]=00;	Trim_shift[03E]=00;
Original_value[03F]=E0;	Fix_or_Trim[03F]=20;	Trim_value[03F]=E0;	Trim_mask[03F]=00;	Trim_shift[03F]=00;
Original_value[040]=2D;	Fix_or_Trim[040]=20;	Trim_value[040]=2D;	Trim_mask[040]=00;	Trim_shift[040]=00;
Original_value[041]=2E;	Fix_or_Trim[041]=20;	Trim_value[041]=2E;	Trim_mask[041]=00;	Trim_shift[041]=00;
Original_value[042]=2C;	Fix_or_Trim[042]=20;	Trim_value[042]=2C;	Trim_mask[042]=00;	Trim_shift[042]=00;
Original_value[043]=26;	Fix_or_Trim[043]=20;	Trim_value[043]=26;	Trim_mask[043]=00;	Trim_shift[043]=00;
Original_value[044]=2B;	Fix_or_Trim[044]=20;	Trim_value[044]=2B;	Trim_mask[044]=00;	Trim_shift[044]=00;
Original_value[045]=AC;	Fix_or_Trim[045]=20;	Trim_value[045]=AC;	Trim_mask[045]=00;	Trim_shift[045]=00;
Original_value[046]=91;	Fix_or_Trim[046]=20;	Trim_value[046]=91;	Trim_mask[046]=00;	Trim_shift[046]=00;
Original_value[047]=31;	Fix_or_Trim[047]=20;	Trim_value[047]=31;	Trim_mask[047]=00;	Trim_shift[047]=00;
Original_value[048]=87;	Fix_or_Trim[048]=20;	Trim_value[048]=87;	Trim_mask[048]=00;	Trim_shift[048]=00;
Original_value[049]=C7;	Fix_or_Trim[049]=20;	Trim_value[049]=C7;	Trim_mask[049]=00;	Trim_shift[049]=00;
Original_value[04A]=67;	Fix_or_Trim[04A]=20;	Trim_value[04A]=67;	Trim_mask[04A]=00;	Trim_shift[04A]=00;
Original_value[04B]=37;	Fix_or_Trim[04B]=20;	Trim_value[04B]=37;	Trim_mask[04B]=00;	Trim_shift[04B]=00;
Original_value[04C]=96;	Fix_or_Trim[04C]=20;	Trim_value[04C]=96;	Trim_mask[04C]=00;	Trim_shift[04C]=00;
Original_value[04D]=2B;	Fix_or_Trim[04D]=20;	Trim_value[04D]=2B;	Trim_mask[04D]=00;	Trim_shift[04D]=00;
Original_value[04E]=3E;	Fix_or_Trim[04E]=20;	Trim_value[04E]=3E;	Trim_mask[04E]=00;	Trim_shift[04E]=00;
Original_value[04F]=CC;	Fix_or_Trim[04F]=20;	Trim_value[04F]=CC;	Trim_mask[04F]=00;	Trim_shift[04F]=00;
Original_value[050]=86;	Fix_or_Trim[050]=20;	Trim_value[050]=86;	Trim_mask[050]=00;	Trim_shift[050]=00;
Original_value[051]=2B;	Fix_or_Trim[051]=20;	Trim_value[051]=2B;	Trim_mask[051]=00;	Trim_shift[051]=00;
Original_value[052]=5E;	Fix_or_Trim[052]=20;	Trim_value[052]=5E;	Trim_mask[052]=00;	Trim_shift[052]=00;
Original_value[053]=2C;	Fix_or_Trim[053]=20;	Trim_value[053]=2C;	Trim_mask[053]=00;	Trim_shift[053]=00;
Original_value[054]=0D;	Fix_or_Trim[054]=20;	Trim_value[054]=0D;	Trim_mask[054]=00;	Trim_shift[054]=00;
Original_value[055]=CD;	Fix_or_Trim[055]=20;	Trim_value[055]=CD;	Trim_mask[055]=00;	Trim_shift[055]=00;
Original_value[056]=1B;	Fix_or_Trim[056]=00;	Trim_value[056]=00;	Trim_mask[056]=00;	Trim_shift[056]=00;
Original_value[057]=02;	Fix_or_Trim[057]=00;	Trim_value[057]=00;	Trim_mask[057]=00;	Trim_shift[057]=00;
Original_value[058]=02;	Fix_or_Trim[058]=00;	Trim_value[058]=00;	Trim_mask[058]=00;	Trim_shift[058]=00;
Original_value[059]=10;	Fix_or_Trim[059]=00;	Trim_value[059]=00;	Trim_mask[059]=00;	Trim_shift[059]=00;
Original_value[05A]=00;	Fix_or_Trim[05A]=00;	Trim_value[05A]=00;	Trim_mask[05A]=00;	Trim_shift[05A]=00;
Original_value[05B]=01;	Fix_or_Trim[05B]=00;	Trim_value[05B]=00;	Trim_mask[05B]=00;	Trim_shift[05B]=00;
Original_value[05C]=47;	Fix_or_Trim[05C]=20;	Trim_value[05C]=47;	Trim_mask[05C]=00;	Trim_shift[05C]=00;
Original_value[05D]=42;	Fix_or_Trim[05D]=20;	Trim_value[05D]=42;	Trim_mask[05D]=00;	Trim_shift[05D]=00;
Original_value[05E]=0A;	Fix_or_Trim[05E]=20;	Trim_value[05E]=0A;	Trim_mask[05E]=00;	Trim_shift[05E]=00;
Original_value[05F]=98;	Fix_or_Trim[05F]=00;	Trim_value[05F]=00;	Trim_mask[05F]=00;	Trim_shift[05F]=00;
Original_value[060]=9A;	Fix_or_Trim[060]=00;	Trim_value[060]=00;	Trim_mask[060]=00;	Trim_shift[060]=00;
Original_value[061]=44;	Fix_or_Trim[061]=00;	Trim_value[061]=00;	Trim_mask[061]=00;	Trim_shift[061]=00;
Original_value[062]=E4;	Fix_or_Trim[062]=00;	Trim_value[062]=00;	Trim_mask[062]=00;	Trim_shift[062]=00;
Original_value[063]=A9;	Fix_or_Trim[063]=01;	Trim_value[063]=00;	Trim_mask[063]=00;	Trim_shift[063]=00;
Original_value[064]=5D;	Fix_or_Trim[064]=01;	Trim_value[064]=00;	Trim_mask[064]=00;	Trim_shift[064]=00;
Original_value[065]=B1;	Fix_or_Trim[065]=20;	Trim_value[065]=B1;	Trim_mask[065]=00;	Trim_shift[065]=00;
Original_value[066]=08;	Fix_or_Trim[066]=00;	Trim_value[066]=00;	Trim_mask[066]=00;	Trim_shift[066]=00;
